Time [s],Channel 0,Channel 1
0.000000000,1,0
0.002895583,1,1
0.002895750,1,0
0.002897250,1,1
0.002897417,1,0
0.002899750,1,1
0.002899917,1,0
0.002900250,1,1
0.002900417,1,0
0.002902583,1,1
0.002902750,1,0
0.002904083,1,1
0.002904250,1,0
0.002904750,1,1
0.002904917,1,0
0.002906083,1,1
0.002906250,1,0
0.002906500,1,1
0.002906917,1,0
0.002909750,1,1
0.002909917,1,0
0.002910250,1,1
0.002910417,1,0
0.002911417,1,1
0.002911583,1,0
0.002912250,1,1
0.002912417,1,0
0.002912750,1,1
0.002912917,1,0
0.002913083,1,1
0.002913250,1,0
0.002914250,1,1
0.002914417,1,0
0.002917417,1,1
0.002917583,1,0
0.002919333,1,1
0.002920250,1,0
0.002920750,1,1
0.002920917,1,0
0.002921167,1,1
0.002921333,1,0
0.002925917,1,1
0.002926083,1,0
0.002928583,1,1
0.002928667,1,0
0.002930083,1,1
0.002930417,1,0
0.002930917,1,1
0.002931083,1,0
0.002931750,1,1
0.002931917,1,0
0.002932250,1,1
0.002932417,1,0
0.002933917,1,1
0.002934083,1,0
0.002935583,1,1
0.002935750,1,0
0.002936417,1,1
0.002936583,1,0
0.002937250,1,1
0.002937667,1,0
0.002941917,1,1
0.002942083,1,0
0.002944583,1,1
0.002944750,1,0
0.002945083,1,1
0.002945250,1,0
0.002945583,1,1
0.002945750,1,0
0.002947583,1,1
0.002947750,1,0
0.002948833,1,1
0.002949000,1,0
0.002949917,1,1
0.002950417,1,0
0.002951583,1,1
0.002951750,1,0
0.002960417,1,1
0.002960583,1,0
0.002961417,1,1
0.002961583,1,0
0.002962417,1,1
0.002962833,1,0
0.002964417,1,1
0.002964917,1,0
0.002965083,1,1
0.002965250,1,0
0.002966333,1,1
0.002966583,1,0
0.002966833,1,1
0.002967000,1,0
0.002967667,1,1
0.002968000,1,0
0.002968250,1,1
0.002968333,1,0
0.002968500,1,1
0.002968667,1,0
0.002968833,1,1
0.002968917,1,0
0.002969000,1,1
0.002969167,1,0
0.002969333,1,1
0.002969667,1,0
0.002969833,1,1
0.002969917,1,0
0.002970000,1,1
0.002970167,1,0
0.002970333,1,1
0.002970583,1,0
0.002970667,1,1
0.002970833,1,0
0.002971000,1,1
0.002971167,1,0
0.002971333,1,1
0.002971500,1,0
0.002971833,1,1
0.002972167,1,0
0.002972333,1,1
0.002972583,1,0
0.002972667,1,1
0.002972833,1,0
0.002973000,1,1
0.002973167,1,0
0.002973333,1,1
0.002973417,0,1
0.002973667,0,0
0.002973833,0,1
0.002974083,0,0
0.002974167,0,1
0.002974250,0,0
0.002974333,0,1
0.002974417,0,0
0.002974500,0,1
0.002974583,0,0
0.002974667,0,1
0.002974833,0,0
0.002974917,0,1
0.002975000,0,0
0.002975083,0,1
0.002975167,0,0
0.002975333,0,1
0.002975417,0,0
0.002975500,0,1
0.002975583,0,0
0.002975667,0,1
0.002975750,0,0
0.002975833,0,1
0.002975917,0,0
0.002976000,0,1
0.002976083,0,0
0.002976167,0,1
0.002976250,0,0
0.002976333,0,1
0.002976500,0,0
0.002976667,0,1
0.002976750,0,0
0.002976833,0,1
0.002976917,0,0
0.002977000,0,1
0.002977083,0,0
0.002977167,0,1
0.002977333,0,0
0.002977417,0,1
0.002977500,0,0
0.002977667,0,1
0.002977833,0,0
0.002978000,0,1
0.002978083,0,0
0.002978167,0,1
0.002978250,0,0
0.002978333,0,1
0.002978417,0,0
0.002978500,0,1
0.002978667,0,0
0.002978833,0,1
0.002978917,0,0
0.002979000,0,1
0.002979083,0,0
0.002979167,0,1
0.002979333,0,0
0.002979500,0,1
0.002979667,0,0
0.002979750,0,1
0.002979833,0,0
0.002980000,0,1
0.002980083,0,0
0.002980167,0,1
0.002980250,0,0
0.002980333,0,1
0.002980417,0,0
0.002980500,0,1
0.002980583,0,0
0.002980667,0,1
0.002980750,0,0
0.002980833,0,1
0.002980917,0,0
0.002981000,0,1
0.002981167,0,0
0.002981333,0,1
0.002981500,0,0
0.002981667,0,1
0.002981750,0,0
0.002981833,0,1
0.002982000,0,0
0.002982167,0,1
0.002982333,0,0
0.002982417,0,1
0.002982500,0,0
0.002982583,0,1
0.002982667,0,0
0.002982750,0,1
0.002982833,0,0
0.002983000,0,1
0.002983083,0,0
0.002983167,0,1
0.002983333,0,0
0.002983417,0,1
0.002983500,0,0
0.002983583,0,1
0.002983667,0,0
0.002983833,0,1
0.002984000,0,0
0.002984083,0,1
0.002984167,0,0
0.002984250,0,1
0.002984333,0,0
0.002984417,0,1
0.002984500,0,0
0.002984583,0,1
0.002984667,0,0
0.002984750,0,1
0.002984833,0,0
0.002984917,0,1
0.002985000,0,0
0.002985083,0,1
0.002985167,0,0
0.002985333,0,1
0.002985417,0,0
0.002985500,0,1
0.002985583,0,0
0.002985667,0,1
0.002985750,0,0
0.002985833,0,1
0.002986000,0,0
0.002986083,0,1
0.002986167,0,0
0.002986333,0,1
0.002986500,0,0
0.002986583,0,1
0.002986667,0,0
0.002986833,0,1
0.002987000,0,0
0.002987083,0,1
0.002987167,0,0
0.002987333,0,1
0.002987500,0,0
0.002987667,0,1
0.002987750,0,0
0.002987833,0,1
0.002987917,0,0
0.002988000,0,1
0.002988083,0,0
0.002988167,0,1
0.002988250,0,0
0.002988333,0,1
0.002988500,0,0
0.002988667,0,1
0.002988750,0,0
